position,team_name,points,form
1,London Reds,65,"['D', 'W', 'W', 'W', 'W']"
2,Burnley,59,"['D', 'D', 'L', 'W', 'W']"
3,Fulham,56,"['D', 'W', 'L', 'D', 'W']"
4,Palace,55,"['D', 'D', 'W', 'D', 'D']"
5,Aston V,52,"['D', 'L', 'L', 'D', 'W']"
6,Everton,51,"['W', 'W', 'L', 'W', 'L']"
7,Brighton,51,"['W', 'D', 'W', 'W', 'D']"
8,Sheffield U,48,"['D', 'W', 'W', 'W', 'W']"
9,Manchester Blue,48,"['D', 'D', 'D', 'L', 'L']"
10,Liverpool,47,"['D', 'L', 'W', 'D', 'W']"
11,London Blues,44,"['L', 'W', 'W', 'W', 'W']"
12,West Brom,44,"['D', 'W', 'D', 'L', 'D']"
13,Wolves,43,"['L', 'D', 'W', 'L', 'D']"
14,Tottenham,41,"['D', 'D', 'D', 'W', 'L']"
15,Leicester,40,"['W', 'L', 'W', 'L', 'L']"
16,Leeds,38,"['D', 'L', 'L', 'W', 'L']"
17,West Ham,38,"['L', 'L', 'D', 'L', 'D']"
18,Newcastle,37,"['W', 'D', 'L', 'L', 'L']"
19,Southampton,31,"['L', 'L', 'L', 'L', 'L']"
20,Manchester Reds,25,"['D', 'D', 'L', 'L', 'D']"
